Batch 95, DSC Scores: [0.999665698957509, 0.7283518843692406]
Batch 96, DSC Scores: [0.9991408552757478, 0.016733790912700663]
Batch 97, DSC Scores: [0.999063444512922, 0.29385678883526806]
Batch 98, DSC Scores: [0.9995989847755004, 0.8212598696686549]
Batch 99, DSC Scores: [0.9995594969563245, 0.529847673939893]
Batch 100, DSC Scores: [0.9988356121329353, 0.09909953291279433]
Batch 101, DSC Scores: [0.9995348752195313, 0.7444489301574485]
Batch 102, DSC Scores: [0.9998328435605697, 0.6610526315789473]
Batch 103, DSC Scores: [0.9996224464795297, 0.7386038464097957]
Batch 104, DSC Scores: [0.9992311185920353, 0.18936977470369]
Batch 105, DSC Scores: [0.9991973277753109, 0.5952611578868937]
Batch 106, DSC Scores: [0.9997101146330442, 0.6375677028810705]
Batch 107, DSC Scores: [0.9995214051563204, 0.7914101453027046]
Batch 108, DSC Scores: [0.9993566100867303, 0.8210038212184965]
Batch 109, DSC Scores: [0.9986184192221049, 0.5123936772168072]
Batch 110, DSC Scores: [0.9995825187366998, 0.5731824285440246]
Batch 111, DSC Scores: [0.9995907823657771, 0.6494263230612123]
Batch 112, DSC Scores: [0.999465156522125, 0.5362045630317092]
Batch 113, DSC Scores: [0.9991969082009377, 0.70348059955018]
Batch 114, DSC Scores: [0.99963087726618, 0.6085804872175623]
Batch 115, DSC Scores: [0.9993200950738481, 0.5161114416022209]
Batch 116, DSC Scores: [0.9993882189115405, 0.40933232169954475]
Batch 117, DSC Scores: [0.9990861476276507, 0.3787284238908014]
Batch 118, DSC Scores: [0.9995916016645174, 0.14148108191415582]
Batch 119, DSC Scores: [0.9995651106773252, 0.5857795923061442]
Batch 120, DSC Scores: [0.9992452083647196, 0.13861773837160518]
Batch 121, DSC Scores: [0.9998127579409777, 0.8292317924842035]
Batch 122, DSC Scores: [0.9995742587899723, 0.4465765902535297]
Batch 123, DSC Scores: [0.9985662112078845, 0.2560689389427961]
Batch 124, DSC Scores: [0.9998080549707357, 0.8244916003536693]
Batch 125, DSC Scores: [0.9997438547838576, 0.7601811768478435]
Batch 126, DSC Scores: [0.9988997688785973, 0.0935575248837028]
Batch 127, DSC Scores: [0.999513559155226, 0.7620362036203621]
Batch 128, DSC Scores: [0.9995404045033244, 0.7565632458233891]
Batch 129, DSC Scores: [0.9997661697249508, 0.2755598831548199]
Batch 130, DSC Scores: [0.9992657509402075, 0.7669585893936604]
Batch 131, DSC Scores: [0.9998336982679377, 0.8139739235756525]
Batch 132, DSC Scores: [0.9996693584819383, 0.858016652855057]
Batch 133, DSC Scores: [0.9992147830664353, 0.44183390438897047]
Batch 134, DSC Scores: [0.9997931313664605, 0.7528313509927499]
Batch 135, DSC Scores: [0.9995316655728603, 0.3259033642530804]
Batch 136, DSC Scores: [0.999809470910103, 0.7731083044595954]
Batch 137, DSC Scores: [0.9995152616151299, 0.696893137589621]
Batch 138, DSC Scores: [0.9996152759321205, 0.6409479686386315]
Batch 139, DSC Scores: [0.9996697009131542, 0.7930040053404539]
Batch 140, DSC Scores: [0.9997249532360295, 0.46416950435111615]
Batch 141, DSC Scores: [0.9997011538642396, 0.7818991639589646]
Batch 142, DSC Scores: [0.9993340111745174, 0.6120065840554054]
Batch 143, DSC Scores: [0.999185094315099, 0.6359774243201642]
Batch 144, DSC Scores: [0.9995022104302957, 0.7633556084116736]
Batch 145, DSC Scores: [0.9998276700814217, 0.7972984467770198]
Batch 146, DSC Scores: [0.9987748757159917, 0.5451764509580356]
Batch 147, DSC Scores: [0.9997483048145881, 0.6708263463713294]
Batch 148, DSC Scores: [0.9996504171789085, 0.6751609128145114]
Batch 149, DSC Scores: [0.9996279588584894, 0.5704115050548199]
Batch 150, DSC Scores: [0.9995843175055491, 0.7284271725826194]
Batch 151, DSC Scores: [0.9997036854037573, 0.6512457730846628]
Batch 152, DSC Scores: [0.9996497439440862, 0.6885413414322613]
Batch 153, DSC Scores: [0.999220631763173, 0.2214016215782291]
Batch 154, DSC Scores: [0.9998135495929291, 0.7599915287568451]
Batch 155, DSC Scores: [0.9999207091030184, 0.7839632746748278]
Batch 156, DSC Scores: [0.999149136729204, 0.25673641427066085]
Batch 157, DSC Scores: [0.9995948188236266, 0.7818334382211034]
Batch 158, DSC Scores: [0.9994591347692381, 0.20727212352648183]
Batch 159, DSC Scores: [0.9995146745555613, 0.023231031543052002]
Batch 160, DSC Scores: [0.9998725508476912, 0.6966393074441586]
Batch 161, DSC Scores: [0.9990579508592878, 0.3335827135501474]
Batch 162, DSC Scores: [0.9998051152141741, 0.7426045904274019]
Batch 163, DSC Scores: [0.9985691570719964, 0.5253692370461036]
Batch 164, DSC Scores: [0.9996707390797397, 0.6407106754480012]
Batch 165, DSC Scores: [0.9996072484467837, 0.3746246531605154]
Batch 166, DSC Scores: [0.9996455582898803, 0.7285472564660382]
Batch 167, DSC Scores: [0.999721275729975, 0.7110262784090909]
Batch 168, DSC Scores: [0.999783579432063, 0.5280172413793104]
Batch 169, DSC Scores: [0.9998763541330036, 0.8866078448501791]
Batch 170, DSC Scores: [0.9996901086929324, 0.5162523900573613]
Batch 171, DSC Scores: [0.9993920768210589, 0.229923134656694]
Batch 172, DSC Scores: [0.9992958931125637, 0.2878276250200997]
Batch 173, DSC Scores: [0.9997624607795275, 0.8594704684317719]
Batch 174, DSC Scores: [0.9995454631350796, 0.8232141860335299]
Batch 175, DSC Scores: [0.9997148235507027, 0.5442038561892176]
Batch 176, DSC Scores: [0.9992197143613054, 0.7346825396825397]
Batch 177, DSC Scores: [0.999616386469518, 0.2542269301283357]
Batch 178, DSC Scores: [0.9995775864901196, 0.8211443802408607]
Batch 179, DSC Scores: [0.999729676094996, 0.7142352656915042]
Batch 180, DSC Scores: [0.9997166481435209, 0.788200115586602]
Batch 181, DSC Scores: [0.9994783222108482, 0.5030056773906267]
Batch 182, DSC Scores: [0.9997116883116883, 0.7619375202330851]
Batch 183, DSC Scores: [0.9992833553331278, 0.6408878504672897]
Batch 184, DSC Scores: [0.9995776025844707, 0.807715167666852]
Batch 185, DSC Scores: [0.9994037911693316, 0.6676970174317517]
Batch 186, DSC Scores: [0.9998445887695898, 0.8117187224902286]
Batch 187, DSC Scores: [0.9995595754764734, 0.6121521649329679]
Batch 188, DSC Scores: [0.9996116018367397, 0.8507531438573863]
Batch 189, DSC Scores: [0.9990850127151119, 0.18878486632564423]
Batch 190, DSC Scores: [0.9995355377298414, 0.6995012778205096]
Batch 191, DSC Scores: [0.9992519838060653, 0.3590913156247205]
Batch 192, DSC Scores: [0.9996178101287434, 0.3868834577495995]
Batch 193, DSC Scores: [0.9995343208623643, 0.4948553382233089]
Batch 194, DSC Scores: [0.9997001432747371, 0.8814658951429073]
Batch 195, DSC Scores: [0.9995836633272253, 0.557585937273754]
Batch 196, DSC Scores: [0.9995627099557067, 0.5523962026764269]
