Batch 1, 0.6892422939948422
Batch 2, 0.6497895518692746
Batch 3, 0.6303854875283447
Batch 4, 0.7206484945661856
Batch 5, 0.4183532144931421
Batch 6, 0.5358382936507936
Batch 7, 0.24403304773561812
Batch 8, 0.09011627906976744
Batch 9, 0.7962293029080284
Batch 10, 0.4452050645180832
Batch 11, 0.3596459924345157
Batch 12, 0.37257242052728656
Batch 13, 0.9044784857059225
Batch 14, 0.04735598764310376
Batch 15, 0.6378741650861713
Batch 16, 0.8152926742391261
Batch 17, 0.8915456874466268
Batch 18, 0.7819921161426786
Batch 19, 0.34118274653254077
Batch 20, 0.5264814007103247
Batch 21, 0.7240966738454175
Batch 22, 0.855638075821562
Batch 23, 0.8381818977208102
Batch 24, 0.767987665600731
Batch 25, 0.7139103554868624
Batch 26, 0.8295076859160782
Batch 27, 0.03344632768361582
Batch 28, 0.09543844109831709
Batch 29, 0.7980535279805353
Batch 30, 0.9033943686301606
Batch 31, 0.7805497925311203
Batch 32, 0.21901747824210602
Batch 33, 0.6888343746406531
Batch 34, 0.0
Batch 35, 0.31785812106272254
Batch 36, 0.6927176872718845
Batch 37, 0.8088971142641717
Batch 38, 0.6537134212641232
Batch 39, 0.5640441858504089
Batch 40, 0.26504188880426505
Batch 41, 0.7458129496402878
Batch 42, 0.5618287373004354
Batch 43, 0.13688374064133352
Batch 44, 0.23794568631073343
Batch 45, 0.6770147867151816
Batch 46, 0.45844223732357553
Batch 47, 0.43043043043043044
Batch 48, 0.5219556796034744
